"","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.EmailAddress","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.ProgramElement.Code.1","Award.ProgramElement.Text.1","Award.Investigator.EmailAddress.1","Award.Investigator.FirstName.2","Award.Investigator.LastName.2","Award.Investigator.EmailAddress.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.Investigator.FirstName.3","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.ProgramElement.Code.2","Award.ProgramElement.Text.2","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.Investigator.FirstName.4","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.Investigator.EmailAddress.3","Award.ProgramElement.Code.3","Award.ProgramElement.Text.3","Award.ProgramElement.Code.4","Award.ProgramElement.Text.4","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.ProgramElement.Code.5","Award.ProgramElement.Text.5","Award.ProgramElement.Code.6","Award.ProgramElement.Text.6","Award.ProgramElement.Code.7","Award.ProgramElement.Text.7","Award.ProgramElement.Code.8","Award.ProgramElement.Text.8","Award.ProgramElement.Code.9","Award.ProgramElement.Text.9","Award.ProgramElement.Code.10","Award.ProgramElement.Text.10","Award.ProgramElement.Code.11","Award.ProgramElement.Text.11","Award.ProgramElement.Code.12","Award.ProgramElement.Text.12","Award.ProgramElement.Code.13","Award.ProgramElement.Text.13","Award.ProgramElement.Code.14","Award.ProgramElement.Code.15","Award.ProgramElement.Code.16","Award.ProgramElement.Code.17","Award.ProgramElement.Code.18","Award.FoaInformation.Code.3","Award.FoaInformation.Name.3","Award.FoaInformation.Code.4","Award.FoaInformation.Name.4"
"3229","A Study of Socialization Process and Outcome","09/01/1975","05/31/1977","60000","Standard Grant","04040700","Direct For Social, Behav & Economic Scie","Division Of Behavioral and Cognitive Sci","name not available","08/12/1975","08/12/1975","7514485","Robert","Schulman","09/01/1975","Co-Principal Investigator","Menninger Foundation","Topeka","66601",NA,NA,"United States","Kansas","KS","James","Taylor","JWTaylo1@facstaff.wisc.edu","09/01/1975","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3230","Bioeffects of Ultrasound","05/15/1976","04/30/1979","106800","Standard Grant","07030000","Directorate For Engineering","Div Of Civil, Mechanical, & Manufact Inn","name not available","05/19/1976","10/12/1978","7514487","F.","Fry","05/15/1976","Principal Investigator","Indianapolis Center For Advanced Research Inc","Indianapolis","46202",NA,NA,"United States","Indiana","IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3231","Geohydrological Environmental Effects of Geothermal Power Production - Phase Ii","06/01/1975","11/30/1977","413000","Standard Grant","07000000","Directorate For Engineering","Directorate For Engineering","name not available","06/27/1975","06/17/1976","7514492","John","Pritchett","06/01/1975","Principal Investigator","S-Cubed","San Diego","92037",NA,NA,"United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3232","1975 Energy Related Graduate Traineeship Program","07/01/1975","09/30/1978","142100","Standard Grant","05050100","Direct For Computer & Info Scie & Enginr","Division Of Computer and Network Systems","name not available","03/26/1975","06/30/1975","7514511","Wendell","Bragonier","07/01/1975","Principal Investigator","Colorado State University","Fort Collins","805232002","9704916355","601 S Howes St","United States","Colorado","CO",NA,NA,NA,NA,NA,"7135","GRAD TRAINING CATEGORICAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3233","Distribution and Cycling of Some Pollutant Heavy Metals","12/15/1975","05/31/1978","6200","Standard Grant","01090000","Office Of The Director","Office Of Internatl Science &Engineering","name not available","12/15/1975","12/15/1975","7514512","David","Burrell","12/15/1975","Principal Investigator","University of Alaska Fairbanks Campus","Fairbanks","997757880","9074747301","West Ridge Research Bldg 008","United States","Alaska","AK",NA,NA,NA,NA,NA,"5924","TAIWAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3234","Statistica - Stochastic Modelling","08/01/1975","09/01/1976","8800","Standard Grant","01090000","Office Of The Director","Office Of Internatl Science &Engineering","name not available","08/18/1975","08/18/1975","7514513","Sidney","Resnick","08/01/1975","Principal Investigator","Stanford University","Palo Alto","943041212","6507232300","3160 Porter Drive","United States","California","CA",NA,NA,"sir1@cornell.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3235","Development of Evaluation Methodology For Oip Programs (C1004)","03/01/1975","06/30/1977","139668","Contract","01090000","Office Of The Director","Office Of Internatl Science &Engineering","name not available","02/27/1975","03/09/1978","7514514","J.","Frame","03/01/1975","Principal Investigator","IPIQ, INC","Westmont","081082827","8565460600","222 Haddon Ave.","United States","New Jersey","NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3236","1975 Energy-Related Graduate Traineeship Program","07/01/1975","09/30/1978","60900","Standard Grant","05050100","Direct For Computer & Info Scie & Enginr","Division Of Computer and Network Systems","name not available","03/26/1975","03/26/1975","7514520","None","None","07/01/1975","Principal Investigator","Princeton University","Princeton","085442020","6092583090","Off. of Research & Proj. Admin.","United States","New Jersey","NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3237","1975 Energy Related Graduate Traineeship Program","07/01/1975","09/30/1978","60900","Standard Grant","05050100","Direct For Computer & Info Scie & Enginr","Division Of Computer and Network Systems","name not available","03/26/1975","03/26/1975","7514523","None","None","07/01/1975","Principal Investigator","Virginia Polytechnic Institute and State University","BLACKSBURG","240610001","5402315281","Sponsored Programs 0170","United States","Virginia","VA",NA,NA,NA,NA,NA,"7135","GRAD TRAINING CATEGORICAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3238","1975 Energy Related Graduate Traineeship Program","07/01/1975","09/30/1978","60900","Standard Grant","05050100","Direct For Computer & Info Scie & Enginr","Division Of Computer and Network Systems","name not available","03/26/1975","03/26/1975","7514524","None","None","07/01/1975","Principal Investigator","University of California-Los Angeles","LOS ANGELES","900951406","3107940102","10889 Wilshire Boulevard","United States","California","CA",NA,NA,NA,NA,NA,"7135","GRAD TRAINING CATEGORICAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3239","1975 Energy Related Graduate Traineeship Program","07/01/1975","09/30/1978","60900","Standard Grant","05050100","Direct For Computer & Info Scie & Enginr","Division Of Computer and Network Systems","name not available","03/26/1975","03/26/1975","7514528","None","None","07/01/1975","Principal Investigator","Stanford University","Palo Alto","943041212","6507232300","3160 Porter Drive","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3240","1975 Energy Related Graduate Traineeship Program","07/01/1975","09/30/1978","60900","Standard Grant","05050100","Direct For Computer & Info Scie & Enginr","Division Of Computer and Network Systems","name not available","03/26/1975","03/26/1975","7514529","None","None","07/01/1975","Principal Investigator","University of North Dakota Main Campus","Grand Forks","582026059","7017774278","University Station","United States","North Dakota","ND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3241","1975 Energy Related Graduate Traineeship Program","07/01/1975","09/30/1978","101500","Standard Grant","05050100","Direct For Computer & Info Scie & Enginr","Division Of Computer and Network Systems","name not available","03/26/1975","06/30/1975","7514530","Thomas","Mitchell","07/01/1975","Principal Investigator","Southern Illinois University at Carbondale","Carbondale","629014308","6184534540","Ofc. of Sponsored Projects Admin","United States","Illinois","IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3242","1975 Energy Related Graduate Traineeship Program","07/01/1975","09/30/1978","101500","Standard Grant","05050100","Direct For Computer & Info Scie & Enginr","Division Of Computer and Network Systems","name not available","03/26/1975","06/30/1975","7514531","Roger","Clark","07/01/1975","Principal Investigator","University of Illinois at Urbana-Champaign","CHAMPAIGN","618207473","2173332187","SUITE A","United States","Illinois","IL",NA,NA,NA,NA,NA,"7135","GRAD TRAINING CATEGORICAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3243","1975 Energy Related Graduate Traineeship Program","07/01/1975","09/30/1978","60900","Standard Grant","05050100","Direct For Computer & Info Scie & Enginr","Division Of Computer and Network Systems","name not available","03/26/1975","10/08/1975","7514533","None","None","07/01/1975","Principal Investigator","University of Missouri-Columbia","COLUMBIA","652110001","5738827560","115 Business Loop 70 W","United States","Missouri","MO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3244","1975 Energy Related Graduate Traineeship Program","07/01/1975","09/30/1978","101500","Standard Grant","05050100","Direct For Computer & Info Scie & Enginr","Division Of Computer and Network Systems","name not available","03/26/1975","03/26/1975","7514534","None","None","07/01/1975","Principal Investigator","Purdue University","West Lafayette","479072114","7654941055","Young Hall","United States","Indiana","IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3245","Equatorial Mid-Atlantic Ridge Studies: Petrology and Metallogenesis","11/15/1975","04/30/1977","63600","Standard Grant","06040304","Directorate For Geosciences","Division Of Ocean Sciences","name not available","12/04/1975","12/04/1975","7514535","David","Fisher","11/15/1975","Co-Principal Investigator","University of Miami Rosenstiel School of Marine&Atmospheric Sci","KEY BISCAYNE","331491031","3054214089","4600 RICKENBACKER CSWY","United States","Florida","FL","Jose","Honnorez",NA,"11/15/1975","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3246","Intra-Regional Variations of Insolation and Space Heating And Cooling Demand","04/15/1975","09/30/1976","149100","Standard Grant","07000000","Directorate For Engineering","Directorate For Engineering","name not available","04/22/1975","04/22/1975","7514536","Marshall","Atwater","04/15/1975","Principal Investigator","Center For the Environment and Man Inc","Hartford","06103",NA,NA,"United States","Connecticut","CT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3247","Assessment of Us-Ussr Bilateral Agreements","02/01/1975","01/31/1976","30000","Interagency Agreement","01080100","Office Of The Director","Office of Planning and Assessment","name not available","02/13/1975","02/13/1975","7514540","Edward","Brady","02/01/1975","Principal Investigator","NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY","Gaithersburg","208998200","3019756633","100 BUREAU DRIVE MS-8200","United States","Maryland","MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3248","Purchase of a Scintillation Counter","05/01/1975","10/31/1976","15000","Standard Grant","08070400","Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","04/28/1975","04/28/1975","7514541","Richard","Hallick","05/01/1975","Principal Investigator","University of Colorado at Boulder","Boulder","803031058","3034926221","3100 Marine Street, Room 481","United States","Colorado","CO","Marvin","Caruthers","hallick@arizona.edu","05/01/1975","Co-Principal Investigator","1144","Molecular Biophysics",NA,NA,"fall@cires.colorado.edu","Richard","Fall",NA,"05/01/1975","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3249","Chemical Communication in Social Insects and Mammals","09/01/1975","08/31/1978","50600","Standard Grant","05090000","Direct For Computer & Info Scie & Enginr","Div Of Advanced Cyberinfrastructure","name not available","06/10/1975","03/08/1978","7514564","James","Wheeler","09/01/1975","Principal Investigator","Howard University","Washington","200599000","2028064759","2400 Sixth Street N W","United States","District of Columbia","DC",NA,NA,NA,NA,NA,"1934","SYNTHETIC ORGANIC & NAT PRODUC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3250","A Very Low Frequency Global Seismic Array","05/01/1975","11/01/1978","255900","Standard Grant","06030004","Directorate For Geosciences","Division Of Earth Sciences","name not available","04/24/1975","05/01/1976","7514566","Freeman","Gilbert","05/01/1975","Principal Investigator","University of California-San Diego","La Jolla","920930621","8585344896","Office of Contract & Grant Admin","United States","California","CA",NA,NA,"fgilbert@ucsd.edu",NA,NA,"1543","GEOPHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3251","Depositional Framework of Mesozoic Sedimentary Basins in TheBlue Mountains Province of Oregon","05/01/1975","04/30/1978","60000","Standard Grant","06030003","Directorate For Geosciences","Division Of Earth Sciences","name not available","04/22/1975","05/20/1977","7514568","William","Dickinson","05/01/1975","Principal Investigator","Stanford University","Palo Alto","943041212","6507232300","3160 Porter Drive","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3252","A Study of Atmospheric Sulfate Pollution From Biological Sources","06/15/1975","09/30/1976","59200","Standard Grant","07020000","Directorate For Engineering","Div Of Chem, Bioeng, Env, & Transp Sys","name not available","06/04/1975","06/04/1975","7514571","David","Richardson","06/15/1975","Principal Investigator","Arthur D Little Inc","Cambridge","021402390",NA,"Acorn Park","United States","Massachusetts","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3253","The Inflation Problem: an Analytic and Empirical Investigation","09/01/1975","02/28/1978","135200","Standard Grant","04040600","Direct For Social, Behav & Economic Scie","Division Of Behavioral and Cognitive Sci","name not available","08/18/1975","08/18/1975","7514582","Karl","Brunner","09/01/1975","Principal Investigator","University of Rochester","Rochester","146270140","5852754031","518 HYLAN, RC BOX 270140","United States","New York","NY",NA,NA,NA,NA,NA,"1320","ECONOMICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3254","Acquisition of a Closed Loop, Programmable Biaxial Testing Facility","04/15/1975","09/30/1976","24600","Standard Grant","03070007","Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","04/14/1975","04/14/1975","7514584","Sanford","Sternstein","04/15/1975","Principal Investigator","Rensselaer Polytechnic Institute","Troy","121803522","5182766000","110 8TH ST","United States","New York","NY",NA,NA,"sterns@rpi.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3255","Anomaly Detection in Nuclear Systems","01/01/1976","09/30/1978","122900","Standard Grant","07020000","Directorate For Engineering","Div Of Chem, Bioeng, Env, & Transp Sys","name not available","01/15/1976","06/08/1978","7514595","Robert","Albrecht","01/01/1976","Principal Investigator","University of Washington","Seattle","981950001","2065434043","4333 Brooklyn Ave NE","United States","Washington","WA",NA,NA,NA,NA,NA,"1407","Combustion & Fire Systems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3256","A Study of Two-Phase Thermal Convection in a Porous Medium","06/01/1975","11/30/1976","15600","Standard Grant","07020000","Directorate For Engineering","Div Of Chem, Bioeng, Env, & Transp Sys","name not available","05/02/1975","05/02/1975","7514596","Donald","Turcotte","06/01/1975","Principal Investigator","Cornell University","Ithaca","148502820","6072555014","373 Pine Tree Road","United States","New York","NY","Kenneth","Torrance","turcotte@geology.ucdavis.edu","06/01/1975","Co-Principal Investigator",NA,NA,NA,NA,"ket1@cornell.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3257","Quantitative Legal and Social Indicators","09/01/1975","03/01/1978","24700","Standard Grant","04040700","Direct For Social, Behav & Economic Scie","Division Of Behavioral and Cognitive Sci","name not available","08/08/1975","08/08/1975","7514599","John","Akula","09/01/1975","Principal Investigator","Harvard University","Cambridge","021385366","6174955501","1033 MASSACHUSETTS AVE","United States","Massachusetts","MA",NA,NA,"johna@ksg1.harvard.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3258","1975 Energy Related Graduate Traineeship Program","07/01/1975","09/30/1978","101500","Standard Grant","05050100","Direct For Computer & Info Scie & Enginr","Division Of Computer and Network Systems","name not available","03/26/1975","06/30/1975","7514606","Eastman","Hatch","07/01/1975","Principal Investigator","Utah State University","Logan","843221415","4357971226","Sponsored Programs Office","United States","Utah","UT",NA,NA,NA,NA,NA,"7135","GRAD TRAINING CATEGORICAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3259","Instructional Scientific Equipment Program","06/01/1975","05/31/1977","3600","Standard Grant","05090000","Direct For Computer & Info Scie & Enginr","Div Of Advanced Cyberinfrastructure","name not available","06/02/1975","06/02/1975","7514610","Henry","Cantwell","06/01/1975","Principal Investigator","Northeastern Oklahoma Agr & Mech College","Miami","743546434","9185406204","Second and I Streets N E","United States","Oklahoma","OK",NA,NA,"cantwell@znt.us",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
