"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.Investigator.FirstName.2","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.ProgramElement.Code.1","Award.ProgramElement.Code.2","Award.ProgramElement.Text.1","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.Investigator.FirstName.3","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.Investigator.FirstName.4","Award.ProgramElement.Text.2","Award.ProgramElement.Code.3","Award.ProgramElement.Text.3","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.FoaInformation.Code.3","Award.FoaInformation.Name.3","Award.ProgramElement.Code.4","Award.ProgramElement.Code.5","Award.ProgramElement.Code.6","Award.ProgramElement.Code.7","Award.ProgramElement.Code.8","Award.ProgramElement.Code.9","Award.ProgramElement.Code.10","Award.ProgramElement.Code.11","Award.ProgramElement.Code.12","Award.ProgramElement.Text.4","Award.ProgramElement.Code.13","Award.ProgramElement.Text.5","Award.ProgramElement.Code.14","Award.ProgramElement.Text.6","Award.ProgramElement.Code.15","Award.ProgramElement.Text.7","Award.ProgramElement.Code.16","Award.ProgramElement.Text.8","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6"
"885",885,"Abrasion Resistant Concrete","05/01/1973","04/30/1974",34500,"Standard Grant",1090000,"Office Of The Director","Office Of Internatl Science &Engineering","name not available","05/18/1973","05/18/1973",7306406,NA,"DATA NOT AVAILABLE","05/01/1973","Principal Investigator","Department of Interior","Washington",202400001,NA,"1849 C Street, NW","United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"886",886,"Building Practices For Disaster Mitigation","06/01/1973","04/30/1976",480000,"Interagency Agreement",1080100,"Office Of The Director","Office of Planning and Assessment","name not available","06/14/1973","06/14/1973",7306409,"Samuel","Kramer","06/01/1973","Principal Investigator","NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY","Gaithersburg",208998200,3019756633,"100 BUREAU DRIVE MS-8200","United States","Maryland","MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"887",887,"Geochemical Ocean Section Study-Geosecs-Measurement of Ra- 228 in Sea Water","06/01/1973","12/31/1975",42200,"Interagency Agreement",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","06/14/1973","01/02/1974",7306412,"Willard","Moore","06/01/1973","Principal Investigator","Department of Navy Naval Oceanographic Office","Washington",20373,NA,NA,"United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"888",888,"Detailed Surface Ship Geophysical/Geological Studies on the Mid-Atlantic Ridge Near 36 Degrees 30: N","09/15/1972","09/30/1977",258700,"Standard Grant",6040304,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","09/21/1972","02/10/1975",7306421,"Wilfred","Bryan","09/15/1972","Co-Principal Investigator","Woods Hole Oceanographic Institution","WOODS HOLE",25431041,5082893542,"183 OYSTER POND ROAD","United States","Massachusetts","MA",NA,NA,"Joseph","Phillips","09/15/1972","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"889",889,"The Spectral Characteristics of Solar Radio Bursts","11/01/1972","06/30/1978",136929,"Standard Grant",6020203,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","10/27/1972","08/04/1977",7306431,"Alan","Maxwell","11/01/1972","Principal Investigator","Harvard University","Cambridge",21385366,6174955501,"1033 MASSACHUSETTS AVE","United States","Massachusetts","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"890",890,"Growth and Evaporation Rates of Micron Sized Drops & the Influence of Some Pollutants on These Rates","12/01/1972","02/28/1977",62500,"Standard Grant",6020102,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","11/10/1972","08/18/1976",7306435,NA,"DATA NOT AVAILABLE","12/01/1972","Principal Investigator","University of Maine","ORONO",44695717,2075811484,"5717 Corbett Hall","United States","Maine","ME",1522,"PHYSICAL METEOROLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"891",891,"Studies of Large-Scale Atmospheric Employing Formulation","12/01/1972","07/31/1978",339600,"Standard Grant",6020107,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","11/24/1972","12/04/1975",7306436,"Ferdinand","Baer","12/01/1972","Principal Investigator","University of Michigan Ann Arbor","Ann Arbor",481091274,7347636438,"3003 South State St. Room 1062","United States","Michigan","MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"892",892,"Currents at the Edge of the Continental Shelf South of Cape Cod","01/01/1973","02/28/1978",124900,"Standard Grant",6040303,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","11/24/1972","08/15/1977",7306439,"Arthur","Voorhis","01/01/1973","Principal Investigator","Woods Hole Oceanographic Institution","WOODS HOLE",25431041,5082893542,"183 OYSTER POND ROAD","United States","Massachusetts","MA",NA,NA,"Charles","Parker","01/01/1973","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"893",893,"Trace Metal Association With Dissolved Organic Matter in Seawater","01/01/1973","02/28/1978",121300,"Standard Grant",6040303,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","12/13/1972","09/22/1976",7306451,"Mark","Shuman","01/01/1973","Principal Investigator","University of North Carolina at Chapel Hill","CHAPEL HILL",275991350,9199663411,"104 AIRPORT DR STE 2200","United States","North Carolina","NC",1612,"MARINE CHEMISTRY",NA,NA,NA,NA,NA,NA,NA,NA,1672,NA,"HYDROCHEMISTRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"894",894,"The Ecology and Migrations of Atlantic Sea Turtles","01/01/1973","10/31/1977",81400,"Standard Grant",6040301,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","12/12/1972","04/25/1975",7306453,"Archie","Carr","01/01/1973","Principal Investigator","University of Florida","GAINESVILLE",326112002,3523923516,"1 UNIVERSITY OF FLORIDA","United States","Florida","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"895",895,"Curating of W. H. o. I. Geological Collection","01/01/1973","06/30/1977",77900,"Standard Grant",6040304,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","12/14/1972","11/12/1975",7306463,"David","Johnson","01/01/1973","Principal Investigator","Woods Hole Oceanographic Institution","WOODS HOLE",25431041,5082893542,"183 OYSTER POND ROAD","United States","Massachusetts","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"896",896,"A Study of the Geomagnetic Micropulsations","01/01/1973","12/31/1974",25000,"Standard Grant",6020203,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","12/21/1972","12/21/1972",7306466,NA,"DATA NOT AVAILABLE","01/01/1973","Principal Investigator","University of Denver","Denver",802104711,3038712000,"2199 S. University Blvd.","United States","Colorado","CO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"897",897,"A Mathematical Analysis of Turbidity Flow","01/15/1973","12/31/1976",30000,"Standard Grant",6040304,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","12/29/1972","01/02/1974",7306469,NA,"DATA NOT AVAILABLE","01/15/1973","Principal Investigator","University of Virginia Main Campus","CHARLOTTESVILLE",229044195,4349244270,"P.O. BOX 400195","United States","Virginia","VA",1621,"SUBMARINE GEOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"898",898,"Paleoecology of Palynofloras of Triassic Basins of Eastern North America","01/01/1973","06/30/1977",35400,"Standard Grant",6030003,"Directorate For Geosciences","Division Of Earth Sciences","name not available","01/03/1973","01/03/1973",7306480,"Alfred","Traverse","01/01/1973","Principal Investigator","Pennsylvania State Univ University Park","UNIVERSITY PARK",168027000,8148651372,"110 Technology Center Building","United States","Pennsylvania","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"899",899,"Production & Loss Processes For Atmospheric Ionization","02/01/1973","04/30/1978",171100,"Continuing grant",6020201,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","01/12/1973","06/30/1977",7306485,"Sidney","Bowhill","02/01/1973","Principal Investigator","University of Illinois at Urbana-Champaign","CHAMPAIGN",618207473,2173332187,"SUITE A","United States","Illinois","IL",1521,"AERONOMY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"900",900,"Studies of Magnetospheric Research","01/15/1973","09/30/1977",140800,"Standard Grant",6020203,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","01/17/1973","04/11/1975",7306489,"Richard","Lovelace","01/15/1973","Co-Principal Investigator","Cornell University","Ithaca",148502820,6072555014,"373 Pine Tree Road","United States","New York","NY",NA,NA,"Donald","Farley","01/15/1973","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"901",901,"Taxonomy, Evolution and Animal Geography of Silurian- Devonian Brachiopods and Gastropods","02/01/1973","07/31/1975",36200,"Continuing grant",6030003,"Directorate For Geosciences","Division Of Earth Sciences","name not available","01/23/1973","01/23/1973",7306492,NA,"DATA NOT AVAILABLE","02/01/1973","Principal Investigator","Oregon State University","Corvallis",973318507,5417374933,"OREGON STATE UNIVERSITY","United States","Oregon","OR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"902",902,"Photoenvironment and the Behavior and Vision of Mesopelagic Animals","03/01/1973","11/30/1977",81000,"Standard Grant",6040301,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","01/22/1973","09/14/1977",7306493,"Elizabeth","Kampa","03/01/1973","Principal Investigator","University of California-San Diego Scripps Inst of Oceanography","LA JOLLA",920930210,8585341293,"8602 La Jolla Shores Dr","United States","California","CA",1650,"BIOLOGICAL OCEANOGRAPHY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"903",903,"The Evolution of the Southern Appalachians","02/01/1973","11/30/1977",75700,"Standard Grant",6030003,"Directorate For Geosciences","Division Of Earth Sciences","name not available","02/07/1973","04/28/1975",7306495,"James","Butler","02/01/1973","Principal Investigator","University of North Carolina at Chapel Hill","CHAPEL HILL",275991350,9199663411,"104 AIRPORT DR STE 2200","United States","North Carolina","NC",1542,"GEOLOGY","Paul","Fullagar","02/01/1973","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"904",904,"Organic Geochemical Interactions in the Okefenokee and Everglades Peat-Forming Environments","04/01/1973","07/31/1978",82200,"Standard Grant",6030003,"Directorate For Geosciences","Division Of Earth Sciences","name not available","01/31/1973","08/17/1977",7306496,"Daniel","Casagrande","04/01/1973","Principal Investigator","Governors State University","University Park",604660975,7085344980,"One University Parkway","United States","Illinois","IL",1542,"GEOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"905",905,"Analysis of Polar Auroral Radar Records","02/01/1973","01/31/1977",50000,"Standard Grant",6020201,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","01/23/1973","02/27/1974",7306497,"Howard","Bates","02/01/1973","Principal Investigator","University of Alaska Fairbanks Campus","Fairbanks",997757880,9074747301,"West Ridge Research Bldg 008","United States","Alaska","AK",1521,"AERONOMY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"906",906,"Oceanic Local Seismicity Studies Using Sonobuoy Hydrophones","02/01/1973","07/31/1977",139200,"Standard Grant",6030004,"Directorate For Geosciences","Division Of Earth Sciences","name not available","01/26/1973","03/17/1976",7306499,"Hugh","Bradner","02/01/1973","Co-Principal Investigator","University of California-San Diego","La Jolla",920930621,8585344896,"Office of Contract & Grant Admin","United States","California","CA",1543,"GEOPHYSICS","James","Brune","02/01/1973","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"907",907,"Paleogeography of the Balearic Triassic and the Origin of The Valencia Trough","05/01/1973","10/31/1976",32400,"Standard Grant",6030003,"Directorate For Geosciences","Division Of Earth Sciences","name not available","02/06/1973","08/14/1975",7306504,"Thomas","Freeman","05/01/1973","Principal Investigator","University of Missouri-Columbia","COLUMBIA",652110001,5738827560,"115 Business Loop 70 W","United States","Missouri","MO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"908",908,"Summer Programs in Geophysical Fluid Dynamics","02/01/1973","10/31/1977",137500,"Continuing grant",6020102,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","01/26/1973","05/01/1976",7306506,"Andrew","Ingersoll","02/01/1973","Principal Investigator","Woods Hole Oceanographic Institution","WOODS HOLE",25431041,5082893542,"183 OYSTER POND ROAD","United States","Massachusetts","MA",1522,"PHYSICAL METEOROLOGY",NA,NA,NA,NA,NA,NA,NA,NA,1543,1611,"GEOPHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OCEAN PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"909",909,"Precambrian Plant Fossils and the Organic Geochemistry of Precambrian Sediments","02/15/1973","12/31/1978",73692,"Standard Grant",6030002,"Directorate For Geosciences","Division Of Earth Sciences","name not available","01/31/1973","12/27/1977",7306514,"Elso","Barghoorn","02/15/1973","Principal Investigator","Harvard University","Cambridge",21385366,6174955501,"1033 MASSACHUSETTS AVE","United States","Massachusetts","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"910",910,"Extension and Finer Definition of the Geomagnetic Polarity Time Scale","02/15/1973","12/31/1977",125000,"Standard Grant",6030004,"Directorate For Geosciences","Division Of Earth Sciences","name not available","02/06/1973","12/08/1976",7306517,"Haraldur","Sigurdsson","02/15/1973","Principal Investigator","University of Rhode Island","KINGSTON",28811967,4018742635,"RESEARCH OFFICE","United States","Rhode Island","RI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"911",911,"Purchase of Equipment For the World-Wide Network of StandardStations (Wwnss) Film-Chip Facility","02/15/1973","12/31/1976",28800,"Standard Grant",6030004,"Directorate For Geosciences","Division Of Earth Sciences","name not available","02/06/1973","06/10/1976",7306519,"Lynn","Sykes","02/15/1973","Principal Investigator","Columbia University Lamont Doherty Earth Observatory","Palisades",10964,9143592900,"Rt 9W","United States","New York","NY",NA,NA,"Clarence","Clay","02/15/1973","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"912",912,"Synthesis, Stabilities and Trace Element Distributions of Minerals Under Hydrothermal Conditions","06/01/1973","03/31/1979",110100,"Standard Grant",6030002,"Directorate For Geosciences","Division Of Earth Sciences","name not available","02/06/1973","06/14/1988",7306520,"Juhn","Liou","06/01/1973","Principal Investigator","Stanford University","Palo Alto",943041212,6507232300,"3160 Porter Drive","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"913",913,"The Formation of Cloud Nuclei at and Near the Surface of TheLand","04/01/1973","04/30/1977",89200,"Standard Grant",6020102,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","03/02/1973","04/30/1974",7306531,"Patrick","Squires","04/01/1973","Principal Investigator","Nevada System of Higher Education, Desert Research Institute","Reno",895121095,7756737444,"2215 Raggio Parkway","United States","Nevada","NV",1522,"PHYSICAL METEOROLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"914",914,"Naturally Occuring Very-Low-Frequency Radio Signals ReceivedNear Fairbanks, Alaska","05/01/1973","02/28/1977",144600,"Standard Grant",6020201,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","02/28/1973","08/11/1975",7306534,"Richard","DATA NOT AVAILABLE","05/01/1973","Co-Principal Investigator","University of Alaska Fairbanks Campus","Fairbanks",997757880,9074747301,"West Ridge Research Bldg 008","United States","Alaska","AK",1521,"AERONOMY",NA,"Heacock","05/01/1973","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"915",915,"Transport Processes at an Air-Water Interface","05/01/1973","01/31/1978",224500,"Standard Grant",6020102,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","03/06/1973","09/27/1976",7306538,"Robert","Street","05/01/1973","Principal Investigator","Stanford University","Palo Alto",943041212,6507232300,"3160 Porter Drive","United States","California","CA",1522,"PHYSICAL METEOROLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"916",916,"Accelerated Planetary Boundary Layer Flow in the Presence OfBaroclinity and Heat Fluxes","07/01/1973","12/31/1977",89900,"Standard Grant",6020102,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","03/05/1973","04/18/1975",7306540,"Larry","Mahrt","07/01/1973","Principal Investigator","Oregon State University","Corvallis",973318507,5417374933,"OREGON STATE UNIVERSITY","United States","Oregon","OR",1522,"PHYSICAL METEOROLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"917",917,"Wave-Particle Interaction Studies With a Ground-Based Vlf Transmitter","03/15/1973","03/31/1975",93600,"Standard Grant",6020203,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","03/16/1973","09/28/1973",7306549,"Donald","McPherson","03/15/1973","Principal Investigator","Aerospace Corporation","Los Angeles",900092957,3103367608,"P.O. Box 92957","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"918",918,"Optical Properties of Lake Ontario","02/01/1973","03/31/1976",38300,"Standard Grant",6040303,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","04/09/1973","09/15/1975",7306554,"Kenneth","Piech","02/01/1973","Principal Investigator","American Bar Association (ABA)","Washington",200365801,2023112200,"1800 M St NW","United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
